"['Almacen A', 29]","['Almacen B', 48]","['Almacen C', 23]","['Almacen D', 45]","['Almacen E', 5]"
"['Almacen A', 6]","['Almacen B', 3]","['Almacen C', 15]","['Almacen D', 11]","['Almacen E', 14]"
"['Almacen A', 13]","['Almacen B', 41]","['Almacen C', 14]","['Almacen D', 5]","['Almacen E', 11]"
"['Almacen A', 10]","['Almacen B', 47]","['Almacen C', 39]","['Almacen D', 16]","['Almacen E', 24]"
"['Almacen A', 19]","['Almacen B', 19]","['Almacen C', 7]","['Almacen D', 4]","['Almacen E', 33]"
"['Almacen A', 12]","['Almacen B', 10]","['Almacen C', 16]","['Almacen D', 1]","['Almacen E', 34]"
"['Almacen A', 36]","['Almacen B', 30]","['Almacen C', 15]","['Almacen D', 43]","['Almacen E', 28]"
"['Almacen A', 6]","['Almacen B', 7]","['Almacen C', 13]","['Almacen D', 19]","['Almacen E', 30]"
"['Almacen A', 32]","['Almacen B', 36]","['Almacen C', 46]","['Almacen D', 25]","['Almacen E', 15]"
"['Almacen A', 11]","['Almacen B', 30]","['Almacen C', 28]","['Almacen D', 18]","['Almacen E', 44]"
"['Almacen A', 40]","['Almacen B', 33]","['Almacen C', 12]","['Almacen D', 49]","['Almacen E', 38]"
