"['Almacen A', 30]","['Almacen B', 26]","['Almacen C', 37]","['Almacen D', 49]","['Almacen E', 31]"
"['Almacen A', 10]","['Almacen B', 24]","['Almacen C', 17]","['Almacen D', 40]","['Almacen E', 13]"
"['Almacen A', 32]","['Almacen B', 26]","['Almacen C', 25]","['Almacen D', 39]","['Almacen E', 32]"
"['Almacen A', 6]","['Almacen B', 29]","['Almacen C', 17]","['Almacen D', 2]","['Almacen E', 39]"
"['Almacen A', 25]","['Almacen B', 10]","['Almacen C', 42]","['Almacen D', 12]","['Almacen E', 43]"
"['Almacen A', 49]","['Almacen B', 26]","['Almacen C', 31]","['Almacen D', 26]","['Almacen E', 44]"
"['Almacen A', 24]","['Almacen B', 15]","['Almacen C', 47]","['Almacen D', 29]","['Almacen E', 28]"
"['Almacen A', 27]","['Almacen B', 9]","['Almacen C', 14]","['Almacen D', 48]","['Almacen E', 12]"
"['Almacen A', 49]","['Almacen B', 13]","['Almacen C', 36]","['Almacen D', 28]","['Almacen E', 17]"
"['Almacen A', 18]","['Almacen B', 21]","['Almacen C', 49]","['Almacen D', 4]","['Almacen E', 19]"
"['Almacen A', 34]","['Almacen B', 12]","['Almacen C', 42]","['Almacen D', 27]","['Almacen E', 35]"
"['Almacen A', 42]","['Almacen B', 10]","['Almacen C', 34]","['Almacen D', 37]","['Almacen E', 45]"
"['Almacen A', 49]","['Almacen B', 10]","['Almacen C', 5]","['Almacen D', 47]","['Almacen E', 41]"
"['Almacen A', 43]","['Almacen B', 26]","['Almacen C', 13]","['Almacen D', 26]","['Almacen E', 8]"
"['Almacen A', 5]","['Almacen B', 12]","['Almacen C', 38]","['Almacen D', 16]","['Almacen E', 27]"
"['Almacen A', 4]","['Almacen B', 5]","['Almacen C', 40]","['Almacen D', 46]","['Almacen E', 28]"
"['Almacen A', 33]","['Almacen B', 19]","['Almacen C', 29]","['Almacen D', 23]","['Almacen E', 26]"
"['Almacen A', 1]","['Almacen B', 29]","['Almacen C', 47]","['Almacen D', 11]","['Almacen E', 21]"
"['Almacen A', 20]","['Almacen B', 11]","['Almacen C', 37]","['Almacen D', 40]","['Almacen E', 27]"
